Date,Visitor,AG,Home,HG
2018-10-03,Anaheim Ducks,5,San Jose Sharks,2
2018-10-03,Montreal Canadiens,2,Toronto Maple Leafs,3
2018-10-03,Calgary Flames,2,Vancouver Canucks,5
2018-10-03,Boston Bruins,0,Washington Capitals,7
2018-10-04,Boston Bruins,4,Buffalo Sabres,0
2018-10-04,New York Islanders,2,Carolina Hurricanes,1
2018-10-04,Minnesota Wild,1,Colorado Avalanche,4
2018-10-04,Arizona Coyotes,0,Dallas Stars,3
2018-10-04,Columbus Blue Jackets,3,Detroit Red Wings,2
2018-10-04,Nashville Predators,3,New York Rangers,2
2018-10-04,Chicago Blackhawks,4,Ottawa Senators,3
2018-10-04,Washington Capitals,6,Pittsburgh Penguins,7
2018-10-04,Winnipeg Jets,5,St. Louis Blues,1
2018-10-04,Philadelphia Flyers,5,Vegas Golden Knights,2
2018-10-05,Carolina Hurricanes,3,Columbus Blue Jackets,1
2018-10-05,San Jose Sharks,3,Los Angeles Kings,2
2018-10-06,Anaheim Ducks,1,Arizona Coyotes,0
2018-10-06,New York Rangers,1,Buffalo Sabres,3
2018-10-06,Vancouver Canucks,4,Calgary Flames,7
2018-10-06,Philadelphia Flyers,2,Colorado Avalanche,5
2018-10-06,Winnipeg Jets,1,Dallas Stars,5
2018-10-06,Vegas Golden Knights,2,Minnesota Wild,1
2018-10-06,Edmonton Oilers,2,New Jersey Devils,5
2018-10-06,Nashville Predators,4,New York Islanders,3
2018-10-06,Montreal Canadiens,5,Pittsburgh Penguins,1
2018-10-06,Chicago Blackhawks,5,St. Louis Blues,4
2018-10-06,Florida Panthers,1,Tampa Bay Lightning,2
2018-10-06,Ottawa Senators,5,Toronto Maple Leafs,3
2018-10-07,New York Rangers,5,Carolina Hurricanes,8
2018-10-07,Toronto Maple Leafs,7,Chicago Blackhawks,6
2018-10-07,Detroit Red Wings,2,Los Angeles Kings,4
2018-10-08,Detroit Red Wings,2,Anaheim Ducks,3
2018-10-08,Ottawa Senators,3,Boston Bruins,6
2018-10-08,Vegas Golden Knights,2,Buffalo Sabres,4
2018-10-08,San Jose Sharks,0,New York Islanders,4
2018-10-09,Vancouver Canucks,3,Carolina Hurricanes,5
2018-10-09,Colorado Avalanche,2,Columbus Blue Jackets,5
2018-10-09,Toronto Maple Leafs,7,Dallas Stars,4
2018-10-09,Calgary Flames,3,Nashville Predators,0
2018-10-09,San Jose Sharks,8,Philadelphia Flyers,2
2018-10-09,Los Angeles Kings,1,Winnipeg Jets,2
2018-10-10,Arizona Coyotes,3,Anaheim Ducks,2
2018-10-10,Philadelphia Flyers,7,Ottawa Senators,4
2018-10-10,Vegas Golden Knights,2,Washington Capitals,5
2018-10-11,Edmonton Oilers,1,Boston Bruins,4
2018-10-11,Colorado Avalanche,6,Buffalo Sabres,1
2018-10-11,Toronto Maple Leafs,5,Detroit Red Wings,3
2018-10-11,Columbus Blue Jackets,5,Florida Panthers,4
2018-10-11,Chicago Blackhawks,3,Minnesota Wild,4
2018-10-11,Los Angeles Kings,3,Montreal Canadiens,0
2018-10-11,Washington Capitals,0,New Jersey Devils,6
2018-10-11,Winnipeg Jets,0,Nashville Predators,3
2018-10-11,San Jose Sharks,2,New York Rangers,3
2018-10-11,Vegas Golden Knights,2,Pittsburgh Penguins,4
2018-10-11,Calgary Flames,3,St. Louis Blues,5
2018-10-11,Vancouver Canucks,4,Tampa Bay Lightning,1
2018-10-13,Buffalo Sabres,3,Arizona Coyotes,0
2018-10-13,Detroit Red Wings,2,Boston Bruins,8
2018-10-13,St. Louis Blues,3,Chicago Blackhawks,4
2018-10-13,Calgary Flames,3,Colorado Avalanche,2
2018-10-13,Anaheim Ducks,3,Dallas Stars,5
2018-10-13,Vancouver Canucks,3,Florida Panthers,2
2018-10-13,Carolina Hurricanes,5,Minnesota Wild,4
2018-10-13,Pittsburgh Penguins,3,Montreal Canadiens,4
2018-10-13,New York Islanders,2,Nashville Predators,5
2018-10-13,Edmonton Oilers,2,New York Rangers,1
2018-10-13,Los Angeles Kings,1,Ottawa Senators,5
2018-10-13,Vegas Golden Knights,1,Philadelphia Flyers,0
2018-10-13,Columbus Blue Jackets,2,Tampa Bay Lightning,8
2018-10-13,Toronto Maple Leafs,4,Washington Capitals,2
2018-10-14,San Jose Sharks,2,New Jersey Devils,3
2018-10-14,Anaheim Ducks,3,St. Louis Blues,2
2018-10-14,Carolina Hurricanes,1,Winnipeg Jets,3
2018-10-15,Detroit Red Wings,3,Montreal Canadiens,7
2018-10-15,Minnesota Wild,2,Nashville Predators,4
2018-10-15,Dallas Stars,1,Ottawa Senators,4
2018-10-15,Los Angeles Kings,1,Toronto Maple Leafs,4
